captured_at,store,country,group,term,rank,result_count,truncated,status,name_match_top5,top3_1,top3_2,top3_3,error
2026-08-13T01:56:00Z,play,AU,subject,permaculture,,50,true,absent_window_capped,,com.kj224.app,com.conduit.app_f41a435b335e4fd6b8a8caa614fed6b1.app,app.groad.groguild,
2026-08-13T01:56:00Z,play,AU,brand,treesmith,1,30,true,ranked,,app.treesmith,com.droidhang.slot.android.google,com.smiconsulting.treetribe,
2026-08-13T01:56:00Z,play,AU,brand,tree smith,1,30,true,ranked,,app.treesmith,com.a3dcomm.aether.smith.lite,com.a3dcomm.aether.smith,
2026-08-13T01:56:00Z,play,US,niche_tracker,fruit tree tracker,,30,true,absent_window_capped,,com.zht.fruit_trees,com.dictionary.fruittrees.fruit.trees,com.PlayMore.FruitTree,
2026-08-13T01:56:00Z,play,US,niche_tracker,orchard tracker,,29,false,absent,,com.habadigital.obstgarten,com.theorchard.OrchardGo,com.trackensure.orchard,
2026-08-13T01:56:00Z,play,US,niche_tracker,tree tracker,9,30,true,ranked,,org.greenstand.android.TreeTracker,org.treeo.treeo,com.treetracker.mobile,
2026-08-13T01:56:00Z,play,US,niche_tracker,graft tracker,1,30,true,ranked,,app.treesmith,com.cibiltech.ptg.graftCare,com.cofox.kahunas.Graft,
2026-08-13T01:56:00Z,play,US,niche_tracker,grafting tracker,1,30,true,ranked,,app.treesmith,com.dreamteammobile.tagtracker,me.cfs.chronic.fatigue.syndrome.pacing.diary.tracker,
2026-08-13T01:56:00Z,play,US,niche_tracker,bonsai tracker,,30,true,absent_window_capped,,app.bonsaicare,com.jooni.app,com.hellobonsai.bonsai,
2026-08-13T01:56:00Z,play,US,niche_tracker,citrus tracker,,30,true,absent_window_capped,,com.wemagineai.citrus,com.technologyevolvingsolutions.kivy_app,com.boxnbiz.citrusfreight,
2026-08-13T01:56:00Z,play,US,niche_tracker,propagation tracker,,10,false,absent,,ua.rv.sashko.hf_propagation,amar.progress,jp.moo.myworks.progressofproject,
2026-08-13T01:56:00Z,play,US,niche_tracker,seedling tracker,,30,true,absent_window_capped,,us.seedtime.app,io.ionic.seed2spoon,com.sochitieu.app,
2026-08-13T01:56:00Z,play,US,niche_tracker,harvest tracker,,29,false,absent,,com.topcon.harvestTrackerLite,com.nplglobalappdev.nplshare,com.harvestapp,
2026-08-13T01:56:00Z,play,US,broad,plant tracker,,30,true,absent_window_capped,,com.potally.app,com.devjah.plants,com.plantparentai.app,
2026-08-13T01:56:00Z,play,US,broad,garden journal,,30,true,absent_window_capped,,com.perculacreative.peter.gardenplanner,us.seedtime.app,io.ionic.seed2spoon,
2026-08-13T01:56:00Z,play,US,broad,garden planner,,20,false,absent,,com.perculacreative.peter.gardenplanner,us.seedtime.app,io.ionic.seed2spoon,
2026-08-13T01:56:00Z,play,US,broad,plant log,,30,true,absent_window_capped,,com.plantlog.plantlog,com.mirkaeraketo.plantdiary,com.devjah.plants,
2026-08-13T01:56:00Z,play,US,broad,garden diary,,29,false,absent,,com.perculacreative.peter.gardenplanner,io.ionic.seed2spoon,us.seedtime.app,
2026-08-13T01:56:00Z,play,US,broad,garden log,,30,true,absent_window_capped,,com.perculacreative.peter.gardenplanner,io.ionic.seed2spoon,us.seedtime.app,
2026-08-13T01:56:00Z,play,US,broad,plant inventory,,30,true,absent_window_capped,,com.mirkaeraketo.plantdiary,com.devjah.plants,com.myplantin.app,
2026-08-13T01:56:00Z,play,US,broad,plant collection,,30,true,absent_window_capped,,cn.danatech.xingseus,greg.io.care_app_android,org.plantnet,
2026-08-13T01:56:00Z,play,US,broad,plant catalogue,,30,true,absent_window_capped,,com.mirkaeraketo.plantdiary,greg.io.care_app_android,cn.danatech.xingseus,
2026-08-13T01:56:00Z,play,US,broad,plant database,,14,false,absent,,com.stevelib.thetortoisetable,cn.danatech.xingseus,org.plantnet,
2026-08-13T01:56:00Z,play,US,broad,garden mapping,,29,false,absent,,com.perculacreative.peter.gardenplanner,io.ionic.seed2spoon,com.gardenplan.app,
2026-08-13T01:56:00Z,play,US,broad,plant care,,30,true,absent_window_capped,,com.plantparentai.app,me.jodoin.aiplantdoctor,com.devjah.plants,
2026-08-13T01:56:00Z,play,US,subject,fruit tree,,30,true,absent_window_capped,,com.PlayMore.FruitTree,com.zht.fruit_trees,com.dictionary.fruittrees.fruit.trees,
2026-08-13T01:56:00Z,play,US,subject,fruit tree journal,,30,true,absent_window_capped,,com.zht.fruit_trees,com.PlayMore.FruitTree,com.fruittree.crush,
2026-08-13T01:56:00Z,play,US,subject,fruit tree care,,30,true,absent_window_capped,,com.dictionary.fruittrees.fruit.trees,com.zht.fruit_trees,com.fruittree.crush,
2026-08-13T01:56:00Z,play,US,subject,rare fruit,,30,true,absent_window_capped,,com.fruitripeness.hru,com.cutthefruit.rope.strawberry,com.premiumsoftware.fruitsandvegetables,
2026-08-13T01:56:00Z,play,US,subject,grafting,,30,true,absent_window_capped,,com.mmircil.cnb2,graftapp.figmd.com.graft,com.amazon.kindle,
2026-08-13T01:56:00Z,play,US,subject,scion wood,,14,false,absent,,org.scionlab.scion,com.beauty_nxt.app,com.anideaz.woodsnipes,
2026-08-13T01:56:00Z,play,US,subject,rootstock,,9,false,absent,,com.rootiq.stock,com.pricklyfish.hotstock,com.blackboxstocks.mobile,
2026-08-13T01:56:00Z,play,US,subject,orchard management,,29,false,absent,,com.theorchard.OrchardGo,com.trackensure.orchard,com.orchard.care519,
2026-08-13T01:56:00Z,play,US,subject,orchard map,,29,false,absent,,com.okshur.WastelandOrchard,com.ambitious.bubble,gov.caltrans.quickmap,
2026-08-13T01:56:00Z,play,US,subject,home orchard,,28,false,absent,,com.habadigital.obstgarten,com.orcharddrop.basketcatcher,com.subsplashconsulting.s_397PFR,
2026-08-13T01:56:00Z,play,US,subject,backyard orchard,,12,false,absent,,com.simpplr.backyard,com.backyard.hunt,com.okshur.WastelandOrchard,
2026-08-13T01:56:00Z,play,US,subject,permaculture,,30,true,absent_window_capped,,com.kj224.app,com.conduit.app_f41a435b335e4fd6b8a8caa614fed6b1.app,app.groad.groguild,
2026-08-13T01:56:00Z,play,US,brand,treesmith,1,30,true,ranked,,app.treesmith,com.theartisttree.wallet,com.droidhang.slot.android.google,
2026-08-13T01:56:00Z,play,US,brand,tree smith,1,30,true,ranked,,app.treesmith,com.a3dcomm.aether.smith,com.a3dcomm.aether.smith.lite,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,fruit tree tracker,7,158,false,ranked,0.2,Fruit Tree Tracker - Grove,FruitForest: Orchard Mapping,Fruit Juice Farm,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,orchard tracker,10,170,false,ranked,0.0,Hectre – Orchard Management,FruitForest: Orchard Mapping,Fruit Tree Tracker - Grove,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,tree tracker,21,180,false,ranked,0.8,TreeTracker Mobile,Flora - Green Focus,Tree Tracker Pro,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,graft tracker,1,184,false,ranked,0.2,TreeSmith: Plant Graft Tracker,Peptide Tracker - PeptideKit,Blood Sugar Tracker-AI Health,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,grafting tracker,1,182,false,ranked,0.0,TreeSmith: Plant Graft Tracker,StoryGraph: Reading Tracker,Peptide Tracker - PeptideKit,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,bonsai tracker,29,181,false,ranked,0.2,Jooni – Bonsai Tracking,BonsAI Identifier: Tree Care,Money Bonsai Net Worth Tracker,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,citrus tracker,44,173,false,ranked,0.0,Parcel Tracking－pkge Australia,Water tracker Waterllama,Package Tracker － Packy,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,propagation tracker,83,165,false,ranked,0.0,Phone Tracker - Family Locator,Findo: Find My Kids & Friends,GPS Tracks,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,seedling tracker,30,177,false,ranked,0.0,Plant Care App-Plant Tracker,GrowIt: Garden Planner,PROVENA: Seed Tracker,
2026-08-13T02:01:00Z,appstore,AU,niche_tracker,harvest tracker,,179,false,absent,0.4,Digi-Star Harvest Tracker,Harvest Tracker,Harvest: Track Time & Invoice,
2026-08-13T02:01:00Z,appstore,AU,broad,plant tracker,,187,false,absent,0.2,Planta: Plant & Garden Care,PictureThis - Plant Identifier,PlantIn: Plant Care Identifier,
2026-08-13T02:01:00Z,appstore,AU,broad,garden journal,,192,false,absent,1.0,Your Garden Journal,GARDENIZE Plant Care & Journal,GrowNotes: Garden Journal,
2026-08-13T02:01:00Z,appstore,AU,broad,garden planner,,186,false,absent,0.6,Planter: Garden Planner,AI Garden & Landscape Design,iScape: Landscape Design,
2026-08-13T02:01:00Z,appstore,AU,broad,plant log,,189,false,absent,0.4,PlantLog,Planta: Plant & Garden Care,PictureThis - Plant Identifier,
2026-08-13T02:01:00Z,appstore,AU,broad,garden diary,,183,false,absent,0.2,Garden Diary - Home Gardening,GARDENIZE Plant Care & Journal,Planta: Plant & Garden Care,
2026-08-13T02:01:00Z,appstore,AU,broad,garden log,,166,false,absent,0.2,GrowNotes: Garden Journal,Garden Planner - VegLog,Planta: Plant & Garden Care,
2026-08-13T02:01:00Z,appstore,AU,broad,plant inventory,,188,false,absent,0.0,PlantNet,PictureThis - Plant Identifier,Planta: Plant & Garden Care,
2026-08-13T02:01:00Z,appstore,AU,broad,plant collection,,183,false,absent,0.2,PictureThis - Plant Identifier,Plant Identifier: LeafSnap,Planta: Plant & Garden Care,
2026-08-13T02:01:00Z,appstore,AU,broad,plant catalogue,,187,false,absent,0.2,Plant Catalogue,PictureThis - Plant Identifier,PlantNet,
2026-08-13T02:01:00Z,appstore,AU,broad,plant database,,187,false,absent,0.0,PictureThis - Plant Identifier,PlantNet,GARDENIZE Plant Care & Journal,
2026-08-13T02:01:00Z,appstore,AU,broad,garden mapping,,174,false,absent,0.0,GardenMap - Map your Garden,MapMyGarden,GrowIt: Garden Planner,
2026-08-13T02:01:00Z,appstore,AU,broad,plant care,,187,false,absent,0.8,Planta: Plant & Garden Care,PictureThis - Plant Identifier,Plant Parent: Plant Care Guide,
2026-08-13T02:01:00Z,appstore,AU,subject,fruit tree,,174,false,absent,0.0,PlantNet,FruitForest: Orchard Mapping,Fruit Merge™: Match Game,
2026-08-13T02:01:00Z,appstore,AU,subject,fruit tree journal,129,175,false,ranked,0.0,"Journey - Diary, Journal",Fruit Tree Tracker - Grove,Day One: Daily Journal & Diary,
2026-08-13T02:01:00Z,appstore,AU,subject,fruit tree care,81,164,false,ranked,0.0,Blossom - AI Plant Identifier,PlantIn: Plant Care Identifier,Planto: Plant Identifier,
2026-08-13T02:01:00Z,appstore,AU,subject,rare fruit,,129,false,absent,0.0,Fruit Ninja®,Fruit Merge™: Match Game,Fruit Pop!,
2026-08-13T02:01:00Z,appstore,AU,subject,grafting,20,187,false,ranked,0.0,RealmCraft: mine & craft world,Block Craft 3D: Building Game,Kawaii World - Craft and Build,
2026-08-13T02:01:00Z,appstore,AU,subject,scion wood,,120,false,absent,0.0,WoodSense: Craft & Identifier,I.D. Wood,Wood Inc. Idle Lumber Chopper,
2026-08-13T02:01:00Z,appstore,AU,subject,rootstock,3,37,false,ranked,0.2,Rootstock: Seed & Plant Log,Grow A Garden : Codes & Stocks,TreeSmith: Plant Graft Tracker,
2026-08-13T02:01:00Z,appstore,AU,subject,orchard management,,166,false,absent,0.2,Hectre – Orchard Management,Farmable: Farm Management App,FruitForest: Orchard Mapping,
2026-08-13T02:01:00Z,appstore,AU,subject,orchard map,,156,false,absent,0.2,FruitForest: Orchard Mapping,Tractor GPS - Field Guidance,Farmable: Farm Management App,
2026-08-13T02:01:00Z,appstore,AU,subject,home orchard,140,165,false,ranked,0.0,Orchard Piper Resident App,Holman Home,Better Homes and Gardens,
2026-08-13T02:01:00Z,appstore,AU,subject,backyard orchard,,172,false,absent,0.0,Backyard Master,Yard AI: Backyard Design AU,Backyard & Outdoor Living,
2026-08-13T02:01:00Z,appstore,AU,subject,permaculture,102,141,false,ranked,1.0,Permaculture.,Discover Permaculture,Permaculture Magazine,
2026-08-13T02:01:00Z,appstore,AU,brand,treesmith,1,166,false,ranked,0.2,TreeSmith: Plant Graft Tracker,Idle Lumber Empire Clicker Inc,Idle Lumber Mill - Wood Game,
2026-08-13T02:01:00Z,appstore,AU,brand,tree smith,2,115,false,ranked,0.2,Christmas Tree Puzzles,TreeSmith: Plant Graft Tracker,Forest Tree Identifier,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,fruit tree tracker,4,172,false,ranked,0.2,Fruit Tree Tracker - Grove,FruitForest: Orchard Mapping,Tree Identifier AI: ID Trees,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,orchard tracker,7,180,false,ranked,0.0,Fruit Tree Tracker - Grove,Hectre – Orchard Management,FruitForest: Orchard Mapping,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,tree tracker,26,178,false,ranked,0.8,TreeTracker Mobile,Flora - Green Focus,Tree Tracker,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,graft tracker,1,187,false,ranked,0.0,TreeSmith,StoryGraph: Reading Tracker,Case Tracker for USCIS & NVC,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,grafting tracker,1,189,false,ranked,0.0,TreeSmith,StoryGraph: Reading Tracker,Shotsy GLP-1 Tracker,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,bonsai tracker,20,179,false,ranked,0.4,Jooni – Bonsai Tracking,BonsAI Identifier: Tree Care,Bonsai Care: Plant Tracker,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,citrus tracker,29,180,false,ranked,0.0,Package Tracker - pkge Mobile,Package Tracker － Packy,CUBE Tracker,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,propagation tracker,44,169,false,ranked,0.0,GPS Tracks,CUBE Tracker,Propagation Journal,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,seedling tracker,29,179,false,ranked,0.4,Seedling: Plant Tracker,Plant Identifier & Care: Ficus,GrowIt: Garden Planner,
2026-08-13T02:01:00Z,appstore,US,niche_tracker,harvest tracker,117,190,false,ranked,0.8,Harvest Tracker,Digi-Star Harvest Tracker,Harvest: Track Time & Invoice,
2026-08-13T02:01:00Z,appstore,US,broad,plant tracker,,186,false,absent,0.2,Planta: Plant & Garden Care,Plant Care Tracker - Ploi,Greg: Plant Identifier & Care,
2026-08-13T02:01:00Z,appstore,US,broad,garden journal,,175,false,absent,0.4,GrowNotes: Garden Journal,Planter: Garden Planner,Planta: Plant & Garden Care,
2026-08-13T02:01:00Z,appstore,US,broad,garden planner,,193,false,absent,1.0,Planter: Garden Planner,GrowIt: Garden Planner,Seed to Spoon - Garden Planner,
2026-08-13T02:01:00Z,appstore,US,broad,plant log,,191,false,absent,0.4,PlantLog,Planta: Plant & Garden Care,leaf diary - Plant Care Log,
2026-08-13T02:01:00Z,appstore,US,broad,garden diary,,177,false,absent,0.4,Garden Diary - 園芸記録ノート,Garden Diary - Home Gardening,Seed to Spoon - Garden Planner,
2026-08-13T02:01:00Z,appstore,US,broad,garden log,,171,false,absent,0.0,GrowNotes: Garden Journal,Planta: Plant & Garden Care,GrowIt: Garden Planner,
2026-08-13T02:01:00Z,appstore,US,broad,plant inventory,,193,false,absent,0.0,PlantNet,PictureThis - Plant Identifier,Plant Identifier: LeafSnap,
2026-08-13T02:01:00Z,appstore,US,broad,plant collection,,193,false,absent,0.0,PictureThis - Plant Identifier,Plant Identifier: LeafSnap,Greg: Plant Identifier & Care,
2026-08-13T02:01:00Z,appstore,US,broad,plant catalogue,,190,false,absent,0.2,PlantNet,Plant Catalogue,Planto: Plant Identifier,
2026-08-13T02:01:00Z,appstore,US,broad,plant database,,189,false,absent,0.0,PictureThis - Plant Identifier,PlantNet,GARDENIZE Plant Care Gardening,
2026-08-13T02:01:00Z,appstore,US,broad,garden mapping,,183,false,absent,0.0,GardenPin: Plant Identifier,Planter: Garden Planner,GrowIt: Garden Planner,
2026-08-13T02:01:00Z,appstore,US,broad,plant care,,193,false,absent,0.8,PictureThis - Plant Identifier,Planta: Plant & Garden Care,Plant Parent: Plant Care Guide,
2026-08-13T02:01:00Z,appstore,US,subject,fruit tree,,174,false,absent,0.0,Fruit Patch App,PlantNet,FruitForest: Orchard Mapping,
2026-08-13T02:01:00Z,appstore,US,subject,fruit tree journal,37,171,false,ranked,0.0,"Journey - Diary, Journal",Fruit Tree Tracker - Grove,Penzu,
2026-08-13T02:01:00Z,appstore,US,subject,fruit tree care,36,174,false,ranked,0.0,Blossom - Plant Care Guide,Plant Guru - Plant Care Guide,Planto: Plant Identifier,
2026-08-13T02:01:00Z,appstore,US,subject,rare fruit,,135,false,absent,0.0,Fruit Ninja®,Fruit Merge™: Match Game,Fruit Merge: Melon Game,
2026-08-13T02:01:00Z,appstore,US,subject,grafting,5,52,false,ranked,0.0,RealmCraft: mine & craft world,Block Craft 3D: Building Games,GRAFT General Registry,
2026-08-13T02:01:00Z,appstore,US,subject,scion wood,,130,false,absent,0.0,WoodSense: Wood Plans & Guides,Wood Identifier: Wuddy,I.D. Wood,
2026-08-13T02:01:00Z,appstore,US,subject,rootstock,5,45,false,ranked,0.2,Rootstock: Seed & Plant Log,vTree,Bartlett Arborist Supply,
2026-08-13T02:01:00Z,appstore,US,subject,orchard management,139,176,false,ranked,0.2,Hectre – Orchard Management,FruitForest: Orchard Mapping,Farmable: Farm Manager App,
